count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
335, 0, -3.383, -19.958,  0.000,  0.000, -0.000,  3.051, 
336, 0, -3.781, -19.915,  0.000,  0.000, -0.000,  3.043, 
337, 0, -4.172, -19.890,  0.000,  0.000, -0.000,  3.080, 
338, 0, -4.574, -19.893,  0.000,  0.000,  0.000, -3.117, 
339, 0, -4.968, -19.921,  0.000,  0.000,  0.000, -3.070, 
340, 0, -5.371, -19.963,  0.000,  0.000,  0.000, -3.033, 
341, 0, -5.772, -20.022,  0.000,  0.000,  0.000, -2.995, 
342, 0, -6.175, -20.091,  0.000,  0.000,  0.000, -2.977, 
343, 0, -6.574, -20.142,  0.000,  0.000,  0.000, -3.020, 
344, 0, -6.953, -20.172,  0.000,  0.000,  0.000, -3.056, 
345, 0, -7.357, -20.192,  0.000,  0.000,  0.000, -3.098, 
346, 0, -7.760, -20.198,  0.000,  0.000,  0.000, -3.126, 
347, 0, -8.163, -20.206,  0.000,  0.000,  0.000, -3.119, 
348, 0, -8.566, -20.225,  0.000,  0.000,  0.000, -3.090, 
349, 0, -8.971, -20.255,  0.000,  0.000,  0.000, -3.070, 
350, 0, -9.373, -20.291,  0.000,  0.000,  0.000, -3.049, 
351, 0, -9.777, -20.330,  0.000,  0.000,  0.000, -3.049, 
352, 0, -10.181, -20.387,  0.000,  0.000,  0.000, -2.995, 
353, 0, -10.581, -20.457,  0.000,  0.000,  0.000, -2.970, 
354, 0, -10.976, -20.539,  0.000,  0.000,  0.000, -2.928, 
355, 0, -11.354, -20.655,  0.000,  0.000,  0.000, -2.827, 
356, 0, -11.694, -20.833,  0.000,  0.000,  0.000, -2.647, 
357, 0, -12.007, -21.074,  0.000,  0.000,  0.000, -2.472, 
358, 0, -12.278, -21.381,  0.000,  0.000,  0.000, -2.277, 
359, 0, -12.527, -21.708,  0.000,  0.000,  0.000, -2.216, 
360, 0, -12.739, -22.050,  0.000,  0.000,  0.000, -2.118, 
361, 0, -12.915, -22.425,  0.000,  0.000,  0.000, -2.000, 
362, 0, -13.033, -22.808,  0.000,  0.000,  0.000, -1.861, 
363, 0, -13.097, -23.207,  0.000,  0.000,  0.000, -1.716, 
364, 0, -13.105, -23.607,  0.000,  0.000,  0.000, -1.597, 
365, 0, -13.107, -24.010,  0.000,  0.000,  0.000, -1.569, 
366, 0, -13.102, -24.415,  0.000,  0.000,  0.000, -1.558, 
367, 0, -13.094, -24.817,  0.000,  0.000,  0.000, -1.551, 
368, 0, -13.085, -25.218,  0.000,  0.000,  0.000, -1.549, 
369, 0, -13.072, -25.609,  0.000,  0.000,  0.000, -1.539, 
370, 0, -13.065, -26.009,  0.000,  0.000,  0.000, -1.559, 
